ID	VARID	DOCULECT	GLOSS	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	VALUE_ORG	SINGULAR	PLURAL	FORM	PARSED FORM	MCF	RECONSTRUCTION	NOTE	NOTES					COGID	COGIDS		CONCEPT	POS
7	1	JamsayDouentza	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́, gàsɛ̀gɛ́	gà sɛ̀gɛ́	gà sɛ̀gɛ́=bé				*garu- sɛgɛ / *garu- sɛgɛ -mbo	see Ful, Ar note above	could be a compound composed of gàrá 'big' and sɛ́: 'good' or sɛ́gɛ́ 'to contribute' - considering meaning of jawdi in Fulfulde as 'goods' or 'wealth'	àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ			631	LIVESTOCK	noun
8	0	JamsayMondoro	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́	à sɛ̀gɛ	à sɛ̀gɛ́							àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
9	0	Mombo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	dèbù bɛ́lí, bɛ́lí	dèbù bɛ́lí							!find a grammar	dèbù_bɛ́lí	^ d è b ù _ b ɛ́ l í $	d è/e b ù/u + b ɛ́/ɛ l í/i	d è/e b ù/u + b ɛ́/ɛ l í/i -	3110	5989 5990	631	LIVESTOCK	noun
9	1	Mombo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	dèbù bɛ́lí, bɛ́lí	bɛ́lí								dèbù_bɛ́lí	^ d è b ù _ b ɛ́ l í $	d è/e b ù/u + b ɛ́/ɛ l í/i	d è/e b ù/u + b ɛ́/ɛ l í/i -			631	LIVESTOCK	noun
10	0	BonduSoNajamba	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	dúmɛ́-ŋgó\\dúmɛ́:	dúmɛ́-ŋgó	dúmɛ́:						(sb's) goods, property	dúmɛ́-ŋgó	^ d ú m ɛ́ ŋ g ó $	d ú/u m ɛ́/ɛ + ŋ ɡ ó/o	d ú/u m ɛ́/ɛ + ŋ ɡ ó/o	3111	5991 5992	631	LIVESTOCK	noun
10	1	BonduSoKindige	domestic animal (esp. livestock)	animal domestique (surtout bétail)					dúmɛ́-ŋgó\\dúmɛ́:	dùmɔ́:-n	dúmɛ̀:						possessions								LIVESTOCK	noun
11	0	Nanga	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gàsɛ̀gɛ́	gà sɛ̀gɛ́	gà sɛ̀gɛ́						note that singular plural disctinction is possible with the definite mark see notes on morphology page. The final gɛ may well be a now unsegmentable suffix (perhaps singular inanimates?)... they look more like mass nouns since some frequent nouns in Penange have -ge in the plurals people, women, men, children, things, etc.	gàsɛ̀gɛ́	^ g à s ɛ̀ g ɛ́ $	ɡ à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	ɡ à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
12	0	Penange	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	dá:bá	dá:bá	da:ba=gé						Plural -gè, if present, follows the adjective only (pg. 72)	dá:bá	^ d á: b á $	d á:/aː b á/a	d á:/aː b á/a	3110	5989	631	LIVESTOCK	noun
13	0	PergeTegu	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́	à sɛ̀gɛ́							!find a grammar	àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
14	0	TebulUre	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀-mbɔ́	à sɛ̀gɛ́	à sɛ̀gɛ̀-mbɔ́						For animate nouns (humans and most fauna), the singular is unmarked and the plural has Animate Plural (AnPl) suffix -mbò ~ -mbɔ̀, the vowel depending on the ATR-harmonic class of the stem	àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
14	1	TebulUre	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀-mbɔ́	gà sɛ̀gɛ́	gà sɛ̀gɛ̀-mbɔ́							àsɛ̀gɛ́	^ à s ɛ̀ g ɛ́ $	à/a s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a - - s ɛ̀/ɛ ɡ ɛ́/ɛ			631	LIVESTOCK	noun
15	0	TiranigeBoui	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bèl (Boui), bɛ̀lì (Ningo)	bèl	bel=gè						Note that bèl refers to all animals in general (Heath, p. 54)	bèl_	^ b è l _$	b è/e l	b è/e l - -	3105	5990	631	LIVESTOCK	noun
15	1	TiranigeNingo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	bèl (Boui), bɛ̀lì (Ningo)	bɛ̀lì	bɛli=ge						plural -gè everywhere ("Plural -gè, if present, follows the adjective only" pg. 82)	bèl_	^ b è l _$	b è/e l	b è/e l - -			631	LIVESTOCK	noun
16	0	TogoKan	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gìrⁿí árúsɛ̀gɛ̀	gìrⁿí árúsɛ̀gɛ̀	gìrⁿí árú sɛ̀gɛ̀						gìrⁿí = 'house' ; -bè can be used to make a definite plural. A vestigial human singular suffix -n does survive when followed by the ‘it is’ clitic. Note that in Togo Kan many human stems end in a nasalized vowel or the suffix -w̃ ; -ý may be the same diminutif suffix (McPherson 2013, p. 113).	gìrⁿí_árúsɛ̀gɛ̀	^ g ì rⁿ í _ á r ú s ɛ̀ g ɛ̀ $	ɡ ì/i r̃ í/i + á/a r ú/u s ɛ̀/ɛ ɡ ɛ̀/ɛ	ɡ ì/i r̃ í/i + - á/a r ú/u s ɛ̀/ɛ ɡ ɛ̀/ɛ	3117	5993 5988	631	LIVESTOCK	noun
17	0	TommoSoTongoTongo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gìnɛ̀-ý bɛ̀lù, bɛ̀lú	gìnɛ̀-ý bɛ̀lù	gi-nɛ-y bɛlu=mbe						gìnɛ́ = 'house'  ; nɛ looks like a class marker ;-mbe can be used as a plural marking across TommoSo ; though many human nouns have a singular -n, plural -m distiction ; or here is -inɛ the Agentive ?	gìnɛ̀-ý_bɛ̀lù	^ g ì n ɛ̀ ý _ b ɛ̀ l ù $	ɡ ì/i n ɛ̀/ɛ + j́/j + b ɛ̀/ɛ l ù/u	ɡ ì/i n ɛ̀/ɛ + j́/j + b ɛ̀/ɛ l ù/u -	3118	5993 5994 5990	631	LIVESTOCK	noun
17	1	TommoSoTongoTongo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	gìnɛ̀-ý bɛ̀lù, bɛ̀lú	bɛ̀lú	bɛlu=mbe						Note that in YornoSo, the bɛl- root found in TommoSo has the meaning of 'fodder'.	gìnɛ̀-ý_bɛ̀lù	^ g ì n ɛ̀ ý _ b ɛ̀ l ù $	ɡ ì/i n ɛ̀/ɛ + j́/j + b ɛ̀/ɛ l ù/u	ɡ ì/i n ɛ̀/ɛ + j́/j + b ɛ̀/ɛ l ù/u -			631	LIVESTOCK	noun
18	0	TomoKanDiangassagou	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	dá:bá:	dá:bá:	da:ba:-we						Bare singular except some vestigial -n in human singulars. Plural is in -we.	dá:bá:	^ d á: b á: $	d á:/aː b á:/aː	d á:/aː b á:/aː	3110	5989	631	LIVESTOCK	noun
19	0	ToroTegu	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àrùzàká ~ àrzàgá	àrùzàká	aru zaka-mǎ:						*sɛgɛ may be *sɛkɛ, not the /r/ of *aru- may be from /s/;  mǎ:  is the free plural marker typical after nonhuman nouns	àrùzàká	^ à r ù z à k á $	à/a r ù/u z à/a k á/a	- à/a r ù/u z à/a k á/a	3107	5988	631	LIVESTOCK	noun
19	1	ToroTegu	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àrùzàká ~ àrzàgá	àrzàgá	ar zaga-mǎ:							àrùzàká	^ à r ù z à k á $	à/a r ù/u z à/a k á/a	- à/a r ù/u z à/a k á/a			631	LIVESTOCK	noun
20	0	YandaDom	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àzɛ̀gɛ̀\\-mú ~ àsɛ̀gɛ̀\\-mú	à zɛ̀gɛ̀	à zɛ̀gɛ̀-mú						-mù is the animate plural marker	àzɛ̀gɛ̀	^ à z ɛ̀ g ɛ̀ $	à/a z ɛ̀/ɛ ɡ ɛ̀/ɛ	- à/a - - z ɛ̀/ɛ ɡ ɛ̀/ɛ	3107	5988	631	LIVESTOCK	noun
20	1	YandaDom	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àzɛ̀gɛ̀\\-mú ~ àsɛ̀gɛ̀\\-mú	à sɛ̀gɛ̀	à sɛ̀gɛ̀-mú							àzɛ̀gɛ̀	^ à z ɛ̀ g ɛ̀ $	à/a z ɛ̀/ɛ ɡ ɛ̀/ɛ	- à/a - - z ɛ̀/ɛ ɡ ɛ̀/ɛ			631	LIVESTOCK	noun
21	0	YornoSo	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	àrùsɛ̀gɛ́	àrù sɛ̀gɛ́	aru sɛgɛ-bè							àrùsɛ̀gɛ́	^ à r ù s ɛ̀ g ɛ́ $	à/a r ù/u s ɛ̀/ɛ ɡ ɛ́/ɛ	- à/a r ù/u s ɛ̀/ɛ ɡ ɛ́/ɛ	3107	5988	631	LIVESTOCK	noun
22	0	BankanTey	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀:ɲɛ̂ⁿ-m\\ɔ̀:ɲɛ̂ⁿ	ɔ̀: ɲɛ̂ⁿ-m	ɔ̀: ɲɛ̂ⁿ							ɔ̀:ɲɛ̂ⁿ-m	^ ɔ̀: ɲ ɛ̂ⁿ m $	ɔ̀:/ɔː ɲ/ɲ ɛ̂ⁿ/ɛ̃ + m	- - - - ɔ̀:/ɔː ɲ/ɲ ɛ̂ⁿ/ɛ̃ - - + m	2001	3839 3840	1871	CAMEL	noun
23	0	BenTey	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀:ɲùwⁿɔ̂-m	ɔ̀: ɲùwⁿɔ̂-m								ɔ̀:ɲùwⁿɔ̂-m	^ ɔ̀: ɲ ù wⁿ ɔ̂ m $	ɔ̀:/ɔː ɲ/ɲ ù/u w̃ ɔ̂/ɔ + m	ɔ̀:/ɔː ɲ/ɲ ù/u w̃ ɔ̂/ɔ + m	2001	3841 3840	1871	CAMEL	noun
24	0	Bunoge	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ́ŋɔ́mɛ̀	ɲɔ́ŋɔ́-mɛ̀							Notice similarity to Cerma  ɲɔ́gɔ́mɛ̀, Miehe p. 28	ɲɔ́ŋɔ́mɛ̀	^ ɲ ɔ́ ŋ ɔ́ m ɛ̀ $	ɲ/ɲ ɔ́/ɔ ŋ ɔ́/ɔ m ɛ̀/ɛ	- - - ɲ/ɲ ɔ́/ɔ ŋ ɔ́/ɔ m ɛ̀/ɛ	2003	3839	1871	CAMEL	noun
25	0	DogulDomBendiely	camel	chameau	camel	chameau	animal/camel	animal/chameau	yɔ́ŋùmɛ̀	yɔ́ŋù-mɛ̀								yɔ́ŋùmɛ̀	^ y ɔ́ ŋ ù m ɛ̀ $	j ɔ́/ɔ ŋ ù/u m ɛ̀/ɛ	j ɔ́/ɔ ŋ ù/u m ɛ̀/ɛ	2003	3842	1871	CAMEL	noun
26	0	DogulDomKundialang	camel	chameau	camel	chameau	animal/camel	animal/chameau	yɔ́ŋmɛ̀	yɔ́ŋ-mɛ̀								yɔ́ŋmɛ̀	^ y ɔ́ ŋ m ɛ̀ $	j ɔ́/ɔ ŋ m ɛ̀/ɛ	j ɔ́/ɔ ŋ - m ɛ̀/ɛ	2003	3842	1871	CAMEL	noun
27	0	DonnoSo	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀ŋɔ̀-yòŋó	ɔ̀ŋɔ̀ yòŋó								ɔ̀ŋɔ̀-yòŋó	^ ɔ̀ ŋ ɔ̀ y ò ŋ ó $	ɔ̀/ɔ ŋ ɔ̀/ɔ + j ò/o ŋ ó/o	ɔ̀/ɔ ŋ ɔ̀/ɔ + j ò/o ŋ - - ó/o	2006	3843 3842	1871	CAMEL	noun
28	0	JamsayGourou	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀ɣɔ̀-yⁿùwⁿó	ɔ̀ɣɔ̀ yⁿùwⁿó								ɔ̀ɣɔ̀-yⁿùwⁿó	^ ɔ̀ ɣ ɔ̀ yⁿ ù wⁿ ó $	ɔ̀/ɔ ɣ ɔ̀/ɔ + jⁿ/j̃ ù/u w̃ ó/o	ɔ̀/ɔ ɣ ɔ̀/ɔ + - jⁿ/j̃ ù/u w̃ ó/o	2006	3844 3841	1871	CAMEL	noun
29	0	JamsayDouentza	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀ɣɔ̀-ɲùŋó	ɔ̀ɣɔ̀ ɲùŋó								ɔ̀ɣɔ̀-ɲùŋó	^ ɔ̀ ɣ ɔ̀ ɲ ù ŋ ó $	ɔ̀/ɔ ɣ ɔ̀/ɔ + ɲ/ɲ ù/u ŋ ó/o	ɔ̀/ɔ ɣ ɔ̀/ɔ + - - - ɲ/ɲ ù/u ŋ ó/o - -	2006	3844 3839	1871	CAMEL	noun
30	0	Mombo	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ̀ŋɔ̀mɛ́	ɲɔ̀ŋɔ̀-mɛ́								ɲɔ̀ŋɔ̀mɛ́	^ ɲ ɔ̀ ŋ ɔ̀ m ɛ́ $	ɲ/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ m ɛ́/ɛ	- - - ɲ/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ m ɛ́/ɛ	2003	3839	1871	CAMEL	noun
31	0	BonduSoNajamba	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲ̀ɔ̀ŋɔ̀-mɛ́\\ɲɔ̀ŋɔ̌:-mbó	ɲ̀ɔ̀ŋɔ̀-mɛ́	ɲɔ̀ŋɔ̌:-mbó							ɲ̀ɔ̀ŋɔ̀mɛ́	^ ɲ̀ ɔ̀ ŋ ɔ̀ m ɛ́ $	ɲ̀/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ m ɛ́/ɛ	- - - ɲ̀/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ m ɛ́/ɛ	2003	3839	1871	CAMEL	noun
31	1	BonduSoKindige	camel	chameau					ɲ̀ɔ̀ŋɔ̀-mɛ́\\ɲɔ̀ŋɔ̌:-mbó	ŋɔ̀ŋɔ́l	ŋɔ̀ŋɔ́l-mbó														CAMEL	noun
32	0	Nanga	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀gɔ̀-ɲɔ̀ŋɔ̂	ɔ̀gɔ̀ ɲɔ̀ŋɔ̂								ɔ̀gɔ̀-ɲɔ̀ŋɔ̂	^ ɔ̀ g ɔ̀ ɲ ɔ̀ ŋ ɔ̂ $	ɔ̀/ɔ ɡ ɔ̀/ɔ + ɲ/ɲ ɔ̀/ɔ ŋ ɔ̂/ɔ	ɔ̀/ɔ ɡ ɔ̀/ɔ + - - - ɲ/ɲ ɔ̀/ɔ ŋ ɔ̂/ɔ - -	2006	3844 3839	1871	CAMEL	noun
33	0	Penange	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ́:mɔ̀yⁿ	ɲɔ́: mɔ̀yⁿ								ɲɔ́:mɔ̀yⁿ	^ ɲ ɔ́: m ɔ̀ yⁿ $	ɲ/ɲ ɔ́ː/ɔː m ɔ̀/ɔ jⁿ/j̃	ɲ/ɲ ɔ́ː/ɔː m ɔ̀/ɔ jⁿ/j̃	2003	3845	1871	CAMEL	noun
34	0	PergeTegu	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀gɔ̀-ɲùwⁿó	ɔ̀gɔ̀ ɲùwⁿó								ɔ̀gɔ̀-ɲùwⁿó	^ ɔ̀ g ɔ̀ ɲ ù wⁿ ó $	ɔ̀/ɔ ɡ ɔ̀/ɔ + ɲ/ɲ ù/u w̃ ó/o	ɔ̀/ɔ ɡ ɔ̀/ɔ + - ɲ/ɲ ù/u w̃ ó/o	2006	3844 3841	1871	CAMEL	noun
35	0	TebulUre	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀gɔ̀ɲɔ̀ŋɔ́\\ɔ̀gɔ̀ɲɔ̀ŋɔ̀-mbɔ́	ɔ̀gɔ̀ ɲɔ̀ŋɔ́	ɔ̀gɔ̀ ɲɔ̀ŋɔ̀-mbɔ́							ɔ̀gɔ̀ɲɔ̀ŋɔ́	^ ɔ̀ g ɔ̀ ɲ ɔ̀ ŋ ɔ́ $	ɔ̀/ɔ ɡ ɔ̀/ɔ ɲ/ɲ ɔ̀/ɔ ŋ ɔ́/ɔ	ɔ̀/ɔ ɡ ɔ̀/ɔ ɲ/ɲ ɔ̀/ɔ ŋ ɔ́/ɔ - -	2014	3839	1871	CAMEL	noun
36	0	Tiranige	camel	chameau	camel	chameau	animal/camel	animal/chameau	njèlèbà	njèlèbà							> Ful ngeelooba 'camel' (Osborn et al. 1993 pg. 252)	njèlèbà	^nj è l è b à $	ⁿdʒ è/e l è/e b à/a	ⁿdʒ è/e l è/e b à/a	2015	3846	1871	CAMEL	noun
37	0	TogoKan	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀gɔ̀-ɲɔ̌	ɔ̀gɔ̀ ɲɔ̌								ɔ̀gɔ̀-ɲɔ̌	^ ɔ̀ g ɔ̀ ɲ ɔ̌ $	ɔ̀/ɔ ɡ ɔ̀/ɔ + ɲ/ɲ ɔ̌/ɔ	ɔ̀/ɔ ɡ ɔ̀/ɔ + - ɲ/ɲ ɔ̌/ɔ	2006	3844 3843	1871	CAMEL	noun
38	0	TommoSoTongoTongo	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲòŋóm	ɲòŋó-m	ɲòŋó-m=mbe						-m should only mark human plurals, so strange to see it on camel	ɲòŋóm	^ ɲ ò ŋ ó m $	ɲ/ɲ ò/o ŋ ó/o m	- - - ɲ/ɲ ò/o ŋ ó/o m -	2003	3839	1871	CAMEL	noun
39	0	TomoKanDiangassagou	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ̀ŋɛ̀mɛ́	ɲɔ̀ŋɛ̀-mɛ́								ɲɔ̀ŋɛ̀mɛ́	^ ɲ ɔ̀ ŋ ɛ̀ m ɛ́ $	ɲ/ɲ ɔ̀/ɔ ŋ ɛ̀/ɛ m ɛ́/ɛ	- - - ɲ/ɲ ɔ̀/ɔ ŋ ɛ̀/ɛ m ɛ́/ɛ	2003	3839	1871	CAMEL	noun
40	0	TomoKanSegue	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ̀ʔɔ̀mɛ́	ɲɔ̀ʔɔ̀-mɛ́								ɲɔ̀ʔɔ̀mɛ́	^ ɲ ɔ̀ ʔ ɔ̀ m ɛ́ $	ɲ/ɲ ɔ̀/ɔ ʔ ɔ̀/ɔ m ɛ́/ɛ	- - - ɲ/ɲ ɔ̀/ɔ ʔ ɔ̀/ɔ m ɛ́/ɛ	2003	3839	1871	CAMEL	noun
41	0	ToroTegu	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɲɔ́	ɲɔ́								ɲɔ́	^ ɲ ɔ́ $	ɲ/ɲ ɔ́/ɔ	- ɲ/ɲ ɔ́/ɔ	2020	3843	1871	CAMEL	noun
42	0	YandaDom	camel	chameau	camel	chameau	animal/camel	animal/chameau	ɔ̀gɔ̀-ɲɔ̀ŋɔ̀\\-mú	ɔ̀gɔ̀ ɲɔ̀ŋɔ̀	ɔ̀gɔ̀-ɲɔ̀ŋɔ̀-mú							ɔ̀gɔ̀-ɲɔ̀ŋɔ̀	^ ɔ̀ g ɔ̀ ɲ ɔ̀ ŋ ɔ̀ $	ɔ̀/ɔ ɡ ɔ̀/ɔ + ɲ/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ	ɔ̀/ɔ ɡ ɔ̀/ɔ + - - - ɲ/ɲ ɔ̀/ɔ ŋ ɔ̀/ɔ - -	2006	3844 3839	1871	CAMEL	noun
