ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
12238	Nanga	(a) shop, store	bìtí+kî	b ì t í + k î	82	b ì t í + k î
12239	Penange	(a) shop, store	bìr+gì	b ì r + g ì	82	b ì r - + g ì
12240	Tiranige	(a) shop, store	bídí+gí	b í d í + g í	82	b í d í + g í
12241	TogoKan	(a) shop, store	bìtí+gí	b ì t í + g í	82	b ì t í + g í
12242	TommoSoTongoTongo	(a) shop, store	bídí+k	b í d í + k	82	b í d í + k -
12243	ToroTegu	(a) shop, store	bìtí+kì	b ì t í + k ì	82	b ì t í + k ì
12244	ToroTegu	(a) shop, store	dɔ̀rù+dɔ̀rúì+lò	d ɔ̀ r ù + d ɔ̀ r ú ì + l ò	90	d ɔ̀ r ù + d ɔ̀ r ú ì + l ò
12245	YandaDom	(a) shop, store	bìdí+gù	b ì d í + g ù	82	b ì d í + g ù
7768	BonduSoNajamba	(a) swelling (of a wound)	àmìyɛ́+ŋgò	à m ì yɛ́ + ŋ g ò	91	à m ì yɛ́ + ŋ g ò
7769	TogoKan	(a) swelling (of a wound)	pìdé	p ì d é	92	p ì d é
7770	TommoSoTongoTongo	(a) swelling (of a wound)	pììrí+yé	p ìì r í + y é	93	p ìì r - í + y é
7771	YornoSo	(a) swelling (of a wound)	pììrèé	p ìì r è é	93	p ìì r è é - - -
4327	BankanTey	(act of) fasting	m̀b+ù+bùp+ǎỳ	m̀ b + ù + b ù p + ǎ ỳ	94	m̀ b + ù + b ù p + ǎ ỳ
4328	BankanTey	(act of) fasting	kɔ́r+kà	k ɔ́ r + k à	97	k ɔ́ r + k à
4329	BenTey	(act of) fasting	mòòp+à+gí+ì	m òò p + à + g í + ì	95	- m òò p + à + g í + ì
4330	DogulDomKundialang	(act of) fasting	kór+kà	k ó r + k à	97	k ó r + k à
4331	DonnoSo	(act of) fasting	kɔ́r+gɔ̀	k ɔ́ r + g ɔ̀	97	k ɔ́ r + g ɔ̀
4332	JamsayDouentza	(act of) fasting	kàà�p+à+gú�	k àà � p + à + g ú �	99	k àà � p + à + g ú �
4333	Mombo	(act of) fasting	kɔ́r+kà	k ɔ́ r + k à	97	k ɔ́ r + k à
4334	BonduSoNajamba	(act of) fasting	ìbìp+á+gíl+é	ì b ì p + á + g í l + é	96	ì b ì p + á + g í l + é
4335	Nanga	(act of) fasting	nɔ̀ɔ̀p+à+gí	n ɔ̀ɔ̀ p + à + g í	101	- n ɔ̀ɔ̀ p + à + g í
4336	Penange	(act of) fasting	sús+úⁿtúl+é	s ú s + úⁿ t ú l + é	102	s ú s + úⁿ t ú l + é
4337	Penange	(act of) fasting	sús+úⁿnìb+ò	s ú s + úⁿ n ì b + ò	102	s ú s + úⁿ n ì b + ò
4338	PergeTegu	(act of) fasting	kààp+à+gú	k àà p + à + g ú	101	- k àà p + à + g ú
4339	TebulUre	(act of) fasting	m̀b+ù+pàg+ú	m̀ b + ù + p à g + ú	104	m̀ b + ù + p à g + ú
4340	Tiranige	(act of) fasting	ɔ̀mɔ̀p+á+gá	ɔ̀ m ɔ̀ p + á + g á	95	ɔ̀ m ɔ̀ p + á + g á - -
4341	TogoKan	(act of) fasting	kàⁿpàg+ú	k àⁿ p à g + ú	106	k àⁿ p à g + ú
4342	TommoSoTongoTongo	(act of) fasting	àŋàp+à+gú	à ŋ à p + à + g ú	101	à ŋ à p + à + g ú
4343	TommoSoTongoTongo	(act of) fasting	kɔ́r+kà	k ɔ́ r + k à	97	k ɔ́ r + k à
4344	TomoKanSegue	(act of) fasting	sús+úⁿ	s ú s + úⁿ	102	s ú s + úⁿ - - - - -
4345	ToroTegu	(act of) fasting	kàp+á+gú	k à p + á + g ú	101	- k à p + á + g ú
4346	YandaDom	(act of) fasting	m̀b+ò+pàg+ù	m̀ b + ò + p à g + ù	104	m̀ b + ò + p à g + ù
4347	YornoSo	(act of) fasting	àŋàp+à+gú	à ŋ à p + à + g ú	101	à ŋ à p + à + g ú
4057	BankanTey	(any) alcoholic beverage	kɔ̀zɔ́	k ɔ̀ z ɔ́	107	k ɔ̀ z ɔ́
4058	BenTey	(any) alcoholic beverage	kɔ̀n+jɔ́	k ɔ̀ n + j ɔ́	108	k ɔ̀ n + j ɔ́ - - - -
4059	DogulDomBendiely	(any) alcoholic beverage	kɔ́+ɲjɔ́	k ɔ́ + ɲ j ɔ́	110	k ɔ́ + ɲ j ɔ́
4060	JamsayDouentza	(any) alcoholic beverage	kɔ̀ɲɔ́	k ɔ̀ ɲ ɔ́	107	k ɔ̀ ɲ ɔ́
4061	Mombo	(any) alcoholic beverage	kɔ́+nd+yɔ̀	k ɔ́ + n d + yɔ̀	112	k ɔ́ + n d + yɔ̀
4062	BonduSoNajamba	(any) alcoholic beverage	kɔ̀n+jɛ́+ŋgé	k ɔ̀ n + j ɛ́ + ŋ g é	108	k ɔ̀ n + j ɛ́ + ŋ g é
4063	Nanga	(any) alcoholic beverage	kɔ̀n+jɔ́	k ɔ̀ n + j ɔ́	108	k ɔ̀ n + j ɔ́ - - - -
4064	PergeTegu	(any) alcoholic beverage	kɔ̀n+jɔ́	k ɔ̀ n + j ɔ́	108	k ɔ̀ n + j ɔ́ - - - -
4065	TogoKan	(any) alcoholic beverage	kɛ̀ɲɛ́	k ɛ̀ ɲ ɛ́	115	k ɛ̀ ɲ ɛ́
4066	TommoSoTongoTongo	(any) alcoholic beverage	kɔ̀n+jɔ́	k ɔ̀ n + j ɔ́	108	k ɔ̀ n + j ɔ́ - - - -
4067	ToroTegu	(any) alcoholic beverage	kɔ̀ⁿsɔ́	k ɔ̀ⁿ s ɔ́	107	k ɔ̀ⁿ s ɔ́
4068	YandaDom	(any) alcoholic beverage	kɔ̀n+zɔ̀	k ɔ̀ n + z ɔ̀	108	k ɔ̀ n + z ɔ̀ - - - -
4069	YornoSo	(any) alcoholic beverage	kɔ̀ɲɔ́	k ɔ̀ ɲ ɔ́	107	k ɔ̀ ɲ ɔ́
4610	Nanga	(any) fish trap	ìsìyɔ́+gî	ì s ì yɔ́ + g î	116	ì s ì yɔ́ + g î
4611	TommoSoTongoTongo	(any) fish trap	jɔ́ɔ́+ⁿ	j ɔ́ɔ́ +ⁿ	117	j ɔ́ɔ́ +ⁿ
4612	ToroTegu	(any) fish trap	sàrⁿá	s à rⁿ á	118	s à rⁿ á
6324	DogulDomBendiely	(any) men's palaver shed	páy+wéyó+gó	p áy + w é y ó + g ó	119	p áy + w é y ó + g ó
6325	DogulDomKundialang	(any) men's palaver shed	ánùwè+jà+ŋgà	á n ù w è + j à + ŋ g à	120	á n ù w è + j à + ŋ g à
6326	Mombo	(any) men's palaver shed	jàwⁿà+bây+ⁿ	j à wⁿ à + b â y +ⁿ	121	j à wⁿ à + b â y +ⁿ
6327	Nanga	(any) men's palaver shed	àrⁿàɔ̂ɔ̂	à rⁿ à ɔ̂ɔ̂	122	à rⁿ à ɔ̂ɔ̂
6328	Tiranige	(any) men's palaver shed	yàŋà	y à ŋ à	123	y à ŋ à
6329	TommoSoTongoTongo	(any) men's palaver shed	ànàm+dó+m	à n à m + d ó + m	124	à n à m + d ó + m
6330	TommoSoTongoTongo	(any) men's palaver shed	ànàm+já+ŋgá	à n à m + j á + ŋ g á	120	à n à m - + j á + ŋ g á
6331	YornoSo	(any) men's palaver shed	tògù+náá	t ò g ù + n áá	125	t ò g ù + n áá
10388	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔ̀w+ɔ́	yɔ̀ w + ɔ́	126	yɔ̀ - w + ɔ́
10389	BenTey	(blood from a serious wound) flow, gush out, pour out	tóót+í	t óó t + í	127	t óó t + í
10390	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yùw+ɔ́	y ù w + ɔ́	126	y ù w + ɔ́
10391	Mombo	(blood from a serious wound) flow, gush out, pour out	gwé+é	g w é + é	130	g w é + é
10392	BonduSoNajamba	(blood from a serious wound) flow, gush out, pour out	síy+ɛ́	s íy + ɛ́	128	s íy + ɛ́
10393	Nanga	(blood from a serious wound) flow, gush out, pour out	tíy+ɛ́	t íy + ɛ́	131	t íy + ɛ́
10394	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	gò+ó	g ò + ó	132	g ò + ó
10395	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ̌+ɔ̌	z ɔ̌ + ɔ̌	133	z ɔ̌ + ɔ̌
10396	YornoSo	(blood from a serious wound) flow, gush out, pour out	tógɛ́+ɛ́	t ó g ɛ́ + ɛ́	134	t ó g ɛ́ + ɛ́
874	DogulDomKundialang	(child) be born	nàl+yé	n à l + y é	135	n à l + y é - -
875	BonduSoNajamba	(child) be born	nàl+í+yɛ́	n à l + í + yɛ́	135	n à l + í - + yɛ́
876	TommoSoTongoTongo	(child) be born	nàl+í+yɛ́	n à l + í + yɛ́	135	n à l + í - + yɛ́
877	YornoSo	(child) be born	nàrⁿɛ́+ɛ́	n à rⁿ ɛ́ + ɛ́	138	n à rⁿ ɛ́ + ɛ́
9950	BankanTey	(colonial) army	lár+mɛ̀	l á r + m ɛ̀	139	l á r + m ɛ̀ -
9951	BenTey	(colonial) army	sèdàà+sú	s è d àà + s ú	140	s è d àà + s ú
9952	DogulDomBendiely	(colonial) army	sóràà+s	s ó r àà + s	140	s ó r àà + s -
9953	JamsayDouentza	(colonial) army	lár+mɛ́	l á r + m ɛ́	139	l á r + m ɛ́ -
9954	Mombo	(colonial) army	ár+méè	á r + m é è	139	- á r + m é è
9955	PergeTegu	(colonial) army	sódáá+sù	s ó d áá + s ù	140	s ó d áá + s ù
9956	TogoKan	(colonial) army	sɔ́dáá+jú	s ɔ́ d áá + j ú	140	s ɔ́ d áá + j ú
9957	TommoSoTongoTongo	(colonial) army	ànsáá+rákɔ̀+mbɔ̀à+nà+m	à n s áá + r á k ɔ̀ + m b ɔ̀ à + n à + m	146	à n s áá + r á k ɔ̀ + m b ɔ̀ à + n à + m
9958	ToroTegu	(colonial) army	sárú+rúsù	s á r ú + r ú s ù	147	s á r ú + r ú s ù
9959	YornoSo	(colonial) army	lár+mè	l á r + m è	139	l á r + m è -
13432	BankanTey	(dog) howl, bay (verb only)	lòòr+ó	l òò r + ó	148	l òò r + ó
13433	Mombo	(dog) howl, bay (verb only)	kɔ́m+ɛ́	k ɔ́ m + ɛ́	150	k ɔ́ m + ɛ́
13434	BonduSoNajamba	(dog) howl, bay (verb only)	ìnìy+è	ì n ì y + è	149	ì n ì y + è
13435	Nanga	(dog) howl, bay (verb only)	gúnd+ó	g ú n d + ó	151	g ú n d + ó
13436	PergeTegu	(dog) howl, bay (verb only)	bòòl+ó	b òò l + ó	152	b òò l + ó
13437	TommoSoTongoTongo	(dog) howl, bay (verb only)	kóód+ó	k óó d + ó	151	k óó - d + ó
13438	YandaDom	(dog) howl, bay (verb only)	kód+ó	k ó d + ó	151	k ó - d + ó
13439	YornoSo	(dog) howl, bay (verb only)	pí+í	p í + í	155	p í + í
15158	Ampari	(e.g. bird) fly	kìr+ì+yé	k ì r + ì + y é	156	k ì r + ì + y é
15159	BankanTey	(e.g. bird) fly	kís+í+yé	k í s + í + y é	156	k í s + í + y é
15160	BenTey	(e.g. bird) fly	kís+í+yé	k í s + í + y é	156	k í s + í + y é
15161	Bunoge	(e.g. bird) fly	píl+lè	p í l + l è	160	p í l + l è
15162	DonnoSo	(e.g. bird) fly	kílè+è	k í l è + è	161	k í l è + è
15163	JamsayGourou	(e.g. bird) fly	pír+é	p í r + é	162	p í r + é
15164	JamsayDouentza	(e.g. bird) fly	cír+é	c í r + é	162	c í r + é
15165	Mombo	(e.g. bird) fly	píl+yé+è	p í l + y é + è	159	p í l + - - y é + è
15166	BonduSoNajamba	(e.g. bird) fly	pìr+ì+yè	p ì r + ì + y è	159	p ì r + ì + y è - -
15167	BonduSoNajamba	(e.g. bird) fly	pìl+ì+yè	p ì l + ì + y è	159	p ì l + ì + y è - -
15168	Nanga	(e.g. bird) fly	kís+í+yé	k í s + í + y é	156	k í s + í + y é
15169	Penange	(e.g. bird) fly	pír+í+gè	p í r + í + g è	166	p í r + í + g è
15170	PergeTegu	(e.g. bird) fly	kír+í+yé	k í r + í + y é	156	k í r + í + y é
15171	TebulUre	(e.g. bird) fly	cíl+lí+í	c í l + l í + í	168	c í l + l í + í
15172	Tiranige	(e.g. bird) fly	píl+í+yó	p í l + í + y ó	159	p í l + í + y ó - -
15173	TogoKan	(e.g. bird) fly	kìr+í+kír+ì+ì	k ì r + í + k í r + ì + ì	170	k ì r + í + k í r + ì + ì
15174	TommoSoTongoTongo	(e.g. bird) fly	kííl+í+yé	k íí l + í + y é	156	k íí l + í + y é
15175	ToroTegu	(e.g. bird) fly	cír+ó	c í r + ó	162	c í r + ó
15176	YandaDom	(e.g. bird) fly	kíl+í+yé	k í l + í + y é	156	k í l + í + y é
15177	YornoSo	(e.g. bird) fly	kílɛ́+ɛ́	k í l ɛ́ + ɛ́	161	k í l ɛ́ + ɛ́
15339	BankanTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	táán+í+gǎŋ	t áá n + í + g ǎ ŋ	171	t áá n + í + g ǎ ŋ - -
15340	BenTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùs+ó	b ù s + ó	172	b ù s + ó - - - - - - -
15341	JamsayDouentza	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùj+ó	b ù j + ó	172	b ù j + ó - - - - - - -
