DOCULECT,GLOSS,IPA
TomoKanDiangassagou,dog,u j u
TomoKanSegue,dog,ʔ u j u
ToroTegu,dog,n e n u
YandaDom,dog,i n j ɛ
YandaDom,dog,n j ɛ
YornoSo,dog,i j u
BankanTey,goat,b ɛ r u - m
BenTey,goat,b ɛ r i - m
BenTey,goat,b ɛ r u - m
Bunoge,goat,k i l ɔ
DogulDomBendiely,goat,i n aa
DogulDomKundialang,goat,i n aa
DonnoSo,goat,ɛ n ɛ
JamsayGourou,goat,b ɛ r u
JamsayDouentza,goat,b ɛ r u
JamsayDouentza,goat,b ɛ n - n aa
JamsayDouentza,goat,ɛ rⁿ ɛ
JamsayMondoro,goat,b ɛ r u
Mombo,goat,u n a
BonduSoNajamba,goat,i n e
Nanga,goat,b ɛ r i
Nanga,goat,m i rⁿ e
Nanga,goat,m ɛ rⁿ ɛ
Penange,goat,u n a
PergeTegu,goat,ɛ rⁿ ɛ
TebulUre,goat,i rⁿ ee
TebulUre,goat,i rⁿ ee
Tiranige,goat,u n a
TogoKan,goat,ɛ rⁿ ɛ
TommoSoTongoTongo,goat,ɛ n ɛ
TomoKanDiangassagou,goat,g ɛɛ
TomoKanSegue,goat,g ɛ
ToroTegu,goat,ɛ rⁿ a
YandaDom,goat,ʔ ə n ɛ
YornoSo,goat,ɛ rⁿ ɛ
BankanTey,goat kid,b ɛ r - y i - m
BenTey,goat kid,b ɛ r - y i - m
DogulDomBendiely,goat kid,i n aa e - g u
DonnoSo,goat kid,ɛ n ɛ ii
JamsayDouentza,goat kid,b ɛ rⁿ ii - ⁿ
Mombo,goat kid,u n a w ee
BonduSoNajamba,goat kid,n aa j ii
Nanga,goat kid,b ɛ r - y ii
TebulUre,goat kid,i n ɛ d ɛ
TogoKan,goat kid,ɛ rⁿ ii - ⁿ
TommoSoTongoTongo,goat kid,ɛ n ɛ ii
ToroTegu,goat kid,ɛ rⁿ a i rⁿ ii
YandaDom,goat kid,ʔ ə n i - y e
YornoSo,goat kid,ɛ rⁿ ɛ ii
BenTey,"billygoat, male goat",b ɛ r a - j i - m
BenTey,"billygoat, male goat",b ɛ r a - rⁿ a - m
DonnoSo,"billygoat, male goat",ɛ n ɛ a n a
JamsayGourou,"billygoat, male goat",b ɛ r u a - g ii
JamsayDouentza,"billygoat, male goat",b ɛ r a - j ii
JamsayDouentza,"billygoat, male goat",b ɛ r u a - rⁿ a
Mombo,"billygoat, male goat",u n a w a - l a
BonduSoNajamba,"billygoat, male goat",i n e a n e
Nanga,"billygoat, male goat",b ɛ r a - rⁿ a
TebulUre,"billygoat, male goat",i n e a rⁿ a
TogoKan,"billygoat, male goat",ɛ rⁿ ɛ a rⁿ a
TommoSoTongoTongo,"billygoat, male goat",ɛ n ɛ a n a
TomoKanSegue,"billygoat, male goat",g ɛ j ii
ToroTegu,"billygoat, male goat",ɛ rⁿ aa r a
YandaDom,"billygoat, male goat",ʔ ə n ɛ a - n
YornoSo,"billygoat, male goat",ɛ rⁿ ɛ a rⁿ a
BankanTey,sheep,p ɛ r ɛ - m
BenTey,sheep,p ɛ r ɛ - m
Bunoge,sheep,ʔ a l a - m a
DogulDomBendiely,sheep,p e s i - g i
DogulDomKundialang,sheep,p e s - g e
DonnoSo,sheep,p e d u
JamsayGourou,sheep,p ee z u
JamsayDouentza,sheep,p ee j u
JamsayMondoro,sheep,p ee j u
Mombo,sheep,a nn a
BonduSoNajamba,sheep,p ɛ - g ɛ
Nanga,sheep,p ɛ r - g ɛ
Penange,sheep,a l a m u - n ɔ
PergeTegu,sheep,p ee s u
TebulUre,sheep,p e d - d e
Tiranige,sheep,a - m b a
Tiranige,sheep,aa n a
TogoKan,sheep,p e j u
TommoSoTongoTongo,sheep,p e d u
TomoKanDiangassagou,sheep,p e j i
TomoKanSegue,sheep,p e j i
ToroTegu,sheep,b ɛ l u
YandaDom,sheep,p ɛɛ
YornoSo,sheep,p e j u
BenTey,lamb,p ɛ r ɛ - y i - m
DonnoSo,lamb,p e d u ii
JamsayDouentza,lamb,p ee j ii - ⁿ
Mombo,lamb,a nn a - w ee
BonduSoNajamba,lamb,p ɛ g ɛ e - n d ee
Nanga,lamb,p ɛ r - g ɛ y ii
TebulUre,lamb,p e d - d e ɛ d ɛ
TogoKan,lamb,p e j ii - ⁿ
TommoSoTongoTongo,lamb,p e d u ii
ToroTegu,lamb,b ɛ l u i - rⁿ ii
YandaDom,lamb,p ɛ y - y e
YornoSo,lamb,p e j u ii
BankanTey,ewe,p ɛ r ɛ - y a - m
BenTey,ewe,p ɛ r ɛ - y a - m
JamsayDouentza,ewe,p ee j u - n aa
Mombo,ewe,a nn a - y ɔɔ
BonduSoNajamba,ewe,p ɛ g ɛ - y ɛɛ
Nanga,ewe,p ɛ r - g ɛ y a - ŋ
TogoKan,ewe,p e j u - n aa
TommoSoTongoTongo,ewe,p e d u - y aa
TomoKanSegue,ewe,p e j i - y aa
ToroTegu,ewe,b ɛ l u - y a
YandaDom,ewe,p ɛɛ y ɛ
YornoSo,ewe,p e j u - y aa
BenTey,ram,p ɛ r ɛ a - rⁿ a - m
DonnoSo,ram,p e d u a - n a
JamsayGourou,ram,p ee z u a - g ii
JamsayDouentza,ram,p ee j u a - rⁿ a
Mombo,ram,a nn a - w a l a
BonduSoNajamba,ram,p ɛ g aa - n e
Nanga,ram,p ɛ r - g ɛ a rⁿ a
TogoKan,ram,p e j u a - rⁿ a
TommoSoTongoTongo,ram,p e d u a - n a
TomoKanSegue,ram,p e j i - j eⁿ j e - ⁿ
ToroTegu,ram,b ɛ l u a - r a
ToroTegu,ram,b ɛ l aa - r a
YornoSo,ram,p e j u a - rⁿ a
BankanTey,horse,s o - m
BenTey,horse,s o - m
Bunoge,horse,s e
DogulDomBendiely,horse,s o - m u
DogulDomKundialang,horse,s o - m
DonnoSo,horse,s o ŋ
JamsayGourou,horse,s o - m
JamsayDouentza,horse,s o - m
Mombo,horse,s o ɲ o - n i
BonduSoNajamba,horse,b a n e
BonduSoNajamba,horse,b a n
Nanga,horse,s o ŋ
Penange,horse,s o n - j o - m
PergeTegu,horse,s o - m
TebulUre,horse,s o - m e
TiranigeBoui ,horse,s o ɲ o - n i
TiranigeNingo ,horse,s o - ɲ j o - n i
TogoKan,horse,s ɔ - ⁿ
TommoSoTongoTongo,horse,s o - m
ToroTegu,horse,s o - ŋ g u
ToroTegu,horse,s o ŋ u
ToroTegu,horse,s o ŋ
YandaDom,horse,s o - m
YornoSo,horse,s o - m
BankanTey,pigeon (domestic),t u r u - s u - m
BenTey,pigeon (domestic),g ɔɔ ⁿ - m
Bunoge,pigeon (domestic),k u n ɛ - k u n ɛ - s aa - m b a
DogulDomBendiely,pigeon (domestic),g u l a - m b a
DogulDomBendiely,pigeon (domestic),g u l a - m p a
DogulDomKundialang,pigeon (domestic),g u l a - m p a
DonnoSo,pigeon (domestic),g u l ɔ - m b ɔ
JamsayDouentza,pigeon (domestic),k i k a - j a
JamsayMondoro,pigeon (domestic),g u - m b a
JamsayMondoro,pigeon (domestic),k i k a - j a
Mombo,pigeon (domestic),d e b u - g u - m b a - g u - m b a
BonduSoNajamba,pigeon (domestic),g u r - m b aa
Nanga,pigeon (domestic),j aa - m b a
Penange,pigeon (domestic),p o l - m a l aa - n d i
PergeTegu,pigeon (domestic),k a k a - s a
TebulUre,pigeon (domestic),k a g a - d a
Tiranige,pigeon (domestic),g u l u - m b a
TogoKan,pigeon (domestic),p e l e - g u - m o
TommoSoTongoTongo,pigeon (domestic),g u r u - m b aa
TomoKanDiangassagou,pigeon (domestic),p e l e - b u - m b a - l a
TomoKanSegue,pigeon (domestic),p y e - l e b u - m b a - l a
ToroTegu,pigeon (domestic),t u s u - m
YandaDom,pigeon (domestic),g u l u - m b a
YornoSo,pigeon (domestic),g u r u - m aa
BankanTey,bird (any),n ii - m
BenTey,bird (any),n ii yⁿ i - m
Bunoge,bird (any),n ii b e
DogulDomBendiely,bird (any),l e g ee - g u
DogulDomBendiely,bird (any),n e g ee - g u
DogulDomKundialang,bird (any),n e g ee - g
DonnoSo,bird (any),s a d aa
JamsayDouentza,bird (any),s aa j ii - ⁿ
JamsayDouentza,bird (any),s a j u
JamsayMondoro,bird (any),s a j u
Mombo,bird (any),i n i
BonduSoNajamba,bird (any),n ii
Nanga,bird (any),l ii - g i
Penange,bird (any),n e j - j e
PergeTegu,bird (any),s a s a - y
TebulUre,bird (any),a d e
Tiranige,bird (any),n i y e
TogoKan,bird (any),s a j u
TommoSoTongoTongo,bird (any),s a d aa
TomoKanDiangassagou,bird (any),s a j u
TomoKanSegue,bird (any),s a j u
ToroTegu,bird (any),s a y
YandaDom,bird (any),a ɲ a n
YornoSo,bird (any),s i s aa
BankanTey,poultry,j ɛ - n d ɛ - k i - s i - y u
Mombo,poultry,k a r a - k a r a - s aa - g e
TommoSoTongoTongo,poultry,g i n ɛ y - s a d aa
YornoSo,poultry,ɛ ɲ ɛ
BankanTey,pig,a r i y e - m
BenTey,pig,t o r u - m
Bunoge,pig,ʔ a l - l a
DogulDomBendiely,pig,a l i y a
DogulDomKundialang,pig,a l i y a
DonnoSo,pig,t o l u
JamsayDouentza,pig,t o r u
Mombo,pig,a l u w a
BonduSoNajamba,pig,a l i y a
BonduSoNajamba,pig,o l e a l i - y a
Nanga,pig,t oo r i
Penange,pig,a l - g a
PergeTegu,pig,t o r u
TebulUre,pig,t o l e
Tiranige,pig,a l i y a
TogoKan,pig,t o r u
TommoSoTongoTongo,pig,t o l u
ToroTegu,pig,t o r u
YandaDom,pig,t o l
YornoSo,pig,t o l
BenTey,"cattle herder, cowherd",n aa b e - r e - m
DogulDomBendiely,"cattle herder, cowherd",n a g i - r
DonnoSo,"cattle herder, cowherd",n a ŋ a - g i r i - n ɛ
JamsayDouentza,"cattle herder, cowherd",n a ŋ a - j i r ɛ - n
Mombo,"cattle herder, cowherd",n aa g i - r i
BonduSoNajamba,"cattle herder, cowherd",n a w oo - k i r - g ɛɛ
Nanga,"cattle herder, cowherd",n a ŋ a - b e r e - m b i
Penange,"cattle herder, cowherd",n aa g i - r
TommoSoTongoTongo,"cattle herder, cowherd",n aa g i - r i n ɛ
ToroTegu,"cattle herder, cowherd",n a ŋ a - b e n u
YandaDom,"cattle herder, cowherd",n aa k i - l ɛ
YornoSo,"cattle herder, cowherd",n aa g i - r ɛ n ɛ
BankanTey,"grass, herbs",b e r u
BankanTey,"grass, herbs",s a w aa
BenTey,"grass, herbs",b e r u
Bunoge,"grass, herbs",k ɔ j i
DogulDomBendiely,"grass, herbs",k ɔɔ - g u
DogulDomKundialang,"grass, herbs",k ɔɔ - g
DogulDomKundialang,"grass, herbs",b e l e
DonnoSo,"grass, herbs",b e l e
JamsayDouentza,"grass, herbs",ɔ y ɔ
Mombo,"grass, herbs",b e l e - ŋ g e
BonduSoNajamba,"grass, herbs",s ɔɔ m ɛ - ŋ g o
Nanga,"grass, herbs",b e r i
Nanga,"grass, herbs",s a w a
Penange,"grass, herbs",k ɔ j i
PergeTegu,"grass, herbs",ɔ y ɔ
TebulUre,"grass, herbs",y ɔ w a
Tiranige,"grass, herbs",b e l - ŋ g e
TiranigeBoui ,"grass, herbs",b e l e - ŋ g e
Tiranige,"grass, herbs",k ɔ y
TogoKan,"grass, herbs",g u g u - r u
TommoSoTongoTongo,"grass, herbs",k e r u
TommoSoTongoTongo,"grass, herbs",b e l u
TomoKanDiangassagou,"grass, herbs",g u n ii
TomoKanSegue,"grass, herbs",g w i - n i
ToroTegu,"grass, herbs",s ɔ l ɔ
YandaDom,"grass, herbs",ɔ a
YornoSo,"grass, herbs",d ɔ - g ɔ
BankanTey,pasture,b e b e - r u
BenTey,pasture,ɔ rⁿ ɔɔ
DogulDomBendiely,pasture,g i r u
Mombo,pasture,b ɛ l i - g i r i
BonduSoNajamba,pasture,g i r - ŋ g a - n
Nanga,pasture,b e r e - m b i
TommoSoTongoTongo,pasture,g i r u - g i r u
ToroTegu,pasture,s a s a - ŋ
YornoSo,pasture,b e l
BankanTey,"castrated (bull, ram, billygoat)",m ɔɔ r aa - n i
BenTey,"castrated (bull, ram, billygoat)",p ɔ r u - m
JamsayGourou,"castrated (bull, ram, billygoat)",p ɔ r u
JamsayDouentza,"castrated (bull, ram, billygoat)",p ɔ r u
Mombo,"castrated (bull, ram, billygoat)",k a - m b e
BonduSoNajamba,"castrated (bull, ram, billygoat)",m ɔ r ɛ - b aa
Nanga,"castrated (bull, ram, billygoat)",p ɔ r i
TogoKan,"castrated (bull, ram, billygoat)",p ɔ r u
TommoSoTongoTongo,"castrated (bull, ram, billygoat)",p ɔ r u
ToroTegu,"castrated (bull, ram, billygoat)",p ɔ l u
YandaDom,"castrated (bull, ram, billygoat)",p ɔ d u
YornoSo,"castrated (bull, ram, billygoat)",p ɔ r u
BankanTey,skin and butcher (carcass of slaughtered animal),p a n d - i
BenTey,skin and butcher (carcass of slaughtered animal),p o
BenTey,skin and butcher (carcass of slaughtered animal),p a l - i
BenTey,skin and butcher (carcass of slaughtered animal),u r - ɔ
Bunoge,skin and butcher (carcass of slaughtered animal),ʔ ɔ r - ɛ
DogulDomBendiely,skin and butcher (carcass of slaughtered animal),k ɛ s - ɛ
DogulDomKundialang,skin and butcher (carcass of slaughtered animal),u r - ɛ
DonnoSo,skin and butcher (carcass of slaughtered animal),u r - ɛ
JamsayGourou,skin and butcher (carcass of slaughtered animal),p ɔ - ɔ
JamsayDouentza,skin and butcher (carcass of slaughtered animal),p a n - a
JamsayMondoro,skin and butcher (carcass of slaughtered animal),p a n - a
Mombo,skin and butcher (carcass of slaughtered animal),t ɔ l - ɛ
BonduSoNajamba,skin and butcher (carcass of slaughtered animal),t ɔ n - ɛ
Nanga,skin and butcher (carcass of slaughtered animal),u r - ɔ
Nanga,skin and butcher (carcass of slaughtered animal),p a n d - i
Penange,skin and butcher (carcass of slaughtered animal),t ɔ l - ɛ
PergeTegu,skin and butcher (carcass of slaughtered animal),p a l - a
TebulUre,skin and butcher (carcass of slaughtered animal),u r - ɔ
Tiranige,skin and butcher (carcass of slaughtered animal),t ɔ n - ɔ
TogoKan,skin and butcher (carcass of slaughtered animal),p ɔ - ɔ
TommoSoTongoTongo,skin and butcher (carcass of slaughtered animal),u r - ɔ
TomoKanDiangassagou,skin and butcher (carcass of slaughtered animal),ʔ u r - ɛ
TomoKanSegue,skin and butcher (carcass of slaughtered animal),ʔ u r - ɛ
ToroTegu,skin and butcher (carcass of slaughtered animal),w o r - o
YandaDom,skin and butcher (carcass of slaughtered animal),p a n - a - l i
YornoSo,skin and butcher (carcass of slaughtered animal),u r - ɔ
BankanTey,donkey,d u r u - m
BenTey,donkey,s u r u - b ɔ - ŋ g ɔ - m
BenTey,donkey,s u b ɔ - ŋ g ɔ - m
BenTey,donkey,s u b ɔ - ŋ g ɔ - m
Bunoge,donkey,k o l o - m u
DogulDomBendiely,donkey,d u l u - g u
DogulDomKundialang,donkey,d u l u - g
DonnoSo,donkey,j a - ŋ g u - r u
JamsayGourou,donkey,z a m - d u r u
JamsayDouentza,donkey,j a m - d u r u
JamsayDouentza,donkey,j a - n d u - r u
JamsayMondoro,donkey,j a - n d u - r u
Mombo,donkey,k ɔ n - y ɔ
BonduSoNajamba,donkey,p a r - ŋ g a
BonduSoNajamba,donkey,p a r a - ŋ g a
Nanga,donkey,s u m a - ŋ a
Penange,donkey,k o l o - k o l o
PergeTegu,donkey,j a m - d u r u
TebulUre,donkey,z a m - d i l e
TiranigeBoui ,donkey,k ɔ l ɔ - ŋ ɔ
TiranigeNingo ,donkey,k ɔ n i - y ɔ
TogoKan,donkey,j ɔⁿ t u - r u
TommoSoTongoTongo,donkey,j a - n d u - l u
TommoSoTongoTongo,donkey,d u l u
TomoKanDiangassagou,donkey,j o - n d u
TomoKanSegue,donkey,j o - n d o
ToroTegu,donkey,z a - n d u - r u
YandaDom,donkey,z a m - d u r u
YandaDom,donkey,z a m - t u r u
YornoSo,donkey,j a m - d u l
BankanTey,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d i - y e
BenTey,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d o - l
Bunoge,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d u - d u - r ɛ
DogulDomKundialang,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d u - d u - r ɛ
DonnoSo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,j a - n d u - r u - t o - o - l o
JamsayGourou,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - g u n
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - g o l
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d u - w o - l
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d o - w o - l
JamsayDouentza,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d ɛɛ - r ɛ
Mombo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g ɔɔ ⁿ d aa - l e
BonduSoNajamba,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d u - r e
Nanga,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - g o l
Nanga,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - d u n - m a rⁿ a
Penange,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,p a r - g a w o - ll o
PergeTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - k ɔ l u
TebulUre,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k w aa - k o l o
Tiranige,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d i - r e
TogoKan,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ r ɔ - g o l
TommoSoTongoTongo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g e ɲ - ɲ u d ɔ - y - ⁿ
TommoSoTongoTongo,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,d u g ɔ - n d ɔ
TomoKanDiangassagou,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ l ɔ - s u - ŋ g u
TomoKanSegue,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ l ɔ - s u - ŋ g u
ToroTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a - n d o - l
ToroTegu,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,g a l i - y e
YandaDom,yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart,k ɔ l ɔ - g o d u
BankanTey,chicken,ɛ z ɛ - m
BenTey,chicken,ɛ n j ɛ - m
Bunoge,chicken,s ii j a
DogulDomBendiely,chicken,a r u j ɛ - n ɛ
DogulDomKundialang,chicken,ɔ ll ɔ
DonnoSo,chicken,e n j e
JamsayGourou,chicken,ɛ s ɛ
JamsayDouentza,chicken,ɛ ɲ ɛ
JamsayMondoro,chicken,ɛ ɲ ɛ
Mombo,chicken,s i j a
BonduSoNajamba,chicken,k o k o - r o
BonduSoNajamba,chicken,k o r o
Nanga,chicken,ɛ n j ɛ
Penange,chicken,s i r - g a
PergeTegu,chicken,ɛ n j ɛ
TebulUre,chicken,ɛ n j ɛ
TiranigeBoui,chicken,s i j a
TiranigeNingo ,chicken,s ii j a
TogoKan,chicken,k o - g o
TommoSoTongoTongo,chicken,ɛ n j ɛ
TomoKanDiangassagou,chicken,k u - g o
TomoKanSegue,chicken,k u - g o
ToroTegu,chicken,ɛⁿ s a
ToroTegu,chicken,ɛ s a
YandaDom,chicken,ɛ d ɛ
YornoSo,chicken,ɛ ɲ ɛ
BankanTey,rooster,ɛ z ɛ k oo - r o - m
BenTey,rooster,ɛ n j ɛ - k oo r o - m
Bunoge,rooster,s ii j a - n o l o
DogulDomBendiely,rooster,ɔ ll ɔ a - n a
DonnoSo,rooster,e n j e a - n a
JamsayDouentza,rooster,ɛ ɲ ɛ a rⁿ a
BonduSoNajamba,rooster,k o r o a - n e
Nanga,rooster,ɛ n j ɛ a - rⁿ a
Penange,rooster,s i r - g a w a - l a
PergeTegu,rooster,ɛ n j ɛ a - rⁿ a
TebulUre,rooster,ɛ - ŋ k o - k o
Tiranige,rooster,s i j a - b a n a
