DOCULECT	GLOSS	IPA
BenTey	bull	nààárⁿà+m
DogulDomBendiely	bull	nààgùá+nà
DonnoSo	bull	nàŋàà+ná
JamsayDouentza	bull	nàŋàà+rⁿá
Mombo	bull	nààwá+lá
BonduSoNajamba	bull	nɛ̀ɛ̀ánè
Nanga	bull	nàŋàá+rⁿâ
TebulUre	bull	nààárⁿá
TogoKan	bull	nàŋàà+rⁿá
TommoSoTongoTongo	bull	nàààná
TomoKanSegue	bull	nàʔⁿà+jù+ŋgú
ToroTegu	bull	nàŋàà+rá
YornoSo	bull	nàààrⁿá
Ampari	dog	ìjɛ́
BankanTey	dog	njèrû+m
BenTey	dog	ìnjɛ̌+m
Bunoge	dog	ʔín+jɛ̀
DogulDomBendiely	dog	úŋɔ̀
DogulDomKundialang	dog	ùŋɔ́ŋ́
DonnoSo	dog	ìdú
JamsayGourou	dog	ìzú
JamsayDouentza	dog	ìjú
JamsayMondoro	dog	ìjú
Mombo	dog	ínjɛ̀
BonduSoNajamba	dog	ŋ̀g+wɛ̌ɛ̌
Nanga	dog	nɛ̀rⁿî
Penange	dog	ŋkɛ̀
PergeTegu	dog	ìšú
TebulUre	dog	ìnjɛ̌ɛ̌
Tiranige	dog	íínjɛ́
Tiranige	dog	íí+ŋgɛ́
TogoKan	dog	ìsí
TommoSoTongoTongo	dog	ìsé
TomoKanDiangassagou	dog	ùjù
TomoKanSegue	dog	ʔùjù
ToroTegu	dog	nènú
YandaDom	dog	ìnjɛ̀
YandaDom	dog	njɛ̀
YornoSo	dog	ìjú
BankanTey	goat	bɛ́rù+m
BenTey	goat	bɛ́rì+m
BenTey	goat	bɛ́rù+m
Bunoge	goat	kílɔ̀
DogulDomBendiely	goat	ínàà
DogulDomKundialang	goat	ínàà
DonnoSo	goat	ɛ̀nɛ́
JamsayGourou	goat	bɛ̀rú
JamsayDouentza	goat	bɛ̀rú
JamsayDouentza	goat	bɛ̀n+náá
JamsayDouentza	goat	ɛ̀rⁿɛ́
JamsayMondoro	goat	bɛ̀rú
Mombo	goat	úná
BonduSoNajamba	goat	ínè
Nanga	goat	bɛ́rî
Nanga	goat	mírⁿê
Nanga	goat	mɛ́rⁿɛ̂
Penange	goat	úná
PergeTegu	goat	ɛ̀rⁿɛ́
TebulUre	goat	írⁿèè
TebulUre	goat	írⁿèè
Tiranige	goat	ùnà
TogoKan	goat	ɛ̀rⁿɛ́
TommoSoTongoTongo	goat	ɛ̀nɛ́
TomoKanDiangassagou	goat	gɛ́ɛ́
TomoKanSegue	goat	gɛ́
ToroTegu	goat	ɛ̀rⁿá
YandaDom	goat	ʔə́nɛ́
YornoSo	goat	ɛ̀rⁿɛ́
BankanTey	goat kid	bɛ̀r+yî+m
BenTey	goat kid	bɛ̀r+yí+m
DogulDomBendiely	goat kid	ìnààé+gù
DonnoSo	goat kid	ɛ̀nɛ̀íì
JamsayDouentza	goat kid	bɛ̀rⁿíì+ⁿ
Mombo	goat kid	únáwéé
BonduSoNajamba	goat kid	nààjíì
Nanga	goat kid	bɛ̀r+yíì
TebulUre	goat kid	ìnɛ̀dɛ́
TogoKan	goat kid	ɛ̀rⁿíí+ⁿ
TommoSoTongoTongo	goat kid	ɛ̀nɛ̀íí
ToroTegu	goat kid	ɛ̀rⁿàìrⁿíí
YandaDom	goat kid	ʔə̀ní+yè
YornoSo	goat kid	ɛ̀rⁿɛ̀íì
BenTey	billygoat, male goat	bɛ̀rà+jǐ+m
BenTey	billygoat, male goat	bɛ̀rá+rⁿà+m
DonnoSo	billygoat, male goat	ɛ̀nɛ̀àná
JamsayGourou	billygoat, male goat	bɛ̀rùà+gíí
JamsayDouentza	billygoat, male goat	bɛ̀rà+jíí
JamsayDouentza	billygoat, male goat	bɛ̀rùà+rⁿá
Mombo	billygoat, male goat	ùnàwá+lá
BonduSoNajamba	billygoat, male goat	ìnèánè
Nanga	billygoat, male goat	bɛ̀rá+rⁿà
TebulUre	billygoat, male goat	ìnèárⁿá
TogoKan	billygoat, male goat	ɛ̀rⁿɛ̀àrⁿá
TommoSoTongoTongo	billygoat, male goat	ɛ̀nɛ̀àná
TomoKanSegue	billygoat, male goat	gɛ̀jíí
ToroTegu	billygoat, male goat	ɛ̀rⁿààrá
YandaDom	billygoat, male goat	ʔə̀nɛ̀á+n
YornoSo	billygoat, male goat	ɛ̀rⁿɛ̀àrⁿá
BankanTey	sheep	pɛ̀rɛ̌+m
BenTey	sheep	pɛ̀rɛ̌+m
Bunoge	sheep	ʔálá+mà
DogulDomBendiely	sheep	pésì+gì
DogulDomKundialang	sheep	pés+gè
DonnoSo	sheep	pédù
JamsayGourou	sheep	péézú
JamsayDouentza	sheep	pééjú
JamsayMondoro	sheep	pééjú
Mombo	sheep	ánnà
BonduSoNajamba	sheep	pɛ̀+gɛ́
Nanga	sheep	pɛ̀r+gɛ́
Penange	sheep	àlàmù+nɔ̀
PergeTegu	sheep	péésú
TebulUre	sheep	péd+dè
Tiranige	sheep	á+mbá
Tiranige	sheep	ááná
TogoKan	sheep	péjú
TommoSoTongoTongo	sheep	pédú
TomoKanDiangassagou	sheep	péjí
TomoKanSegue	sheep	pèjí
ToroTegu	sheep	bɛ̀lú
YandaDom	sheep	pɛ̀ɛ̀
YornoSo	sheep	péjú
BenTey	lamb	pɛ̀rɛ̀+yí+m
DonnoSo	lamb	pèdùíì
JamsayDouentza	lamb	pèèjíì+ⁿ
Mombo	lamb	ànnà+wéé
BonduSoNajamba	lamb	pɛ̀gɛ̀è+ndéè
Nanga	lamb	pɛ̀r+gɛ̀yíì
TebulUre	lamb	pèd+dèɛ̀dɛ́
TogoKan	lamb	pèjíí+ⁿ
TommoSoTongoTongo	lamb	pèdùíí
ToroTegu	lamb	bɛ̀lùì+rⁿíí
YandaDom	lamb	pɛ̌y+yè
YornoSo	lamb	pèjùíì
BankanTey	ewe	pɛ̀rɛ̀+yǎ+m
BenTey	ewe	pɛ̀rɛ̀+yǎ+m
JamsayDouentza	ewe	pèèjù+náá
Mombo	ewe	ánnà+yɔ̂ɔ̂
BonduSoNajamba	ewe	pɛ̀gɛ̀+yɛ̌ɛ̌
Nanga	ewe	pɛ̀r+gɛ̀yǎ+ŋ
TogoKan	ewe	pèjù+náá
TommoSoTongoTongo	ewe	pèdù+yàá
TomoKanSegue	ewe	pèjì+yàà
ToroTegu	ewe	bɛ̀lù+yá
YandaDom	ewe	pɛ̀ɛ̀yɛ̀
YornoSo	ewe	pèjù+yàá
BenTey	ram	pɛ̀rɛ̀á+rⁿà+m
DonnoSo	ram	pèdùà+ná
JamsayGourou	ram	pèèzùà+gíí
JamsayDouentza	ram	pèèjùà+rⁿá
Mombo	ram	ànnà+wálá
BonduSoNajamba	ram	pɛ̀gáá+nè
Nanga	ram	pɛ̀r+gɛ̀árⁿâ
TogoKan	ram	pèjùà+rⁿá
TommoSoTongoTongo	ram	pèdùà+ná
TomoKanSegue	ram	pèjì+jèⁿjè+ⁿ
ToroTegu	ram	bɛ̀lùà+rá
ToroTegu	ram	bɛ̀làà+rá
YornoSo	ram	pèjùà+rⁿá
BankanTey	horse	sǒ+m
BenTey	horse	sǒ+m
Bunoge	horse	sé
DogulDomBendiely	horse	só+mú
DogulDomKundialang	horse	sǒ+m
DonnoSo	horse	sǒŋ
JamsayGourou	horse	sǒ+m
JamsayDouentza	horse	sǒ+m
Mombo	horse	sóɲó+nì
BonduSoNajamba	horse	bàné
BonduSoNajamba	horse	bǎn
Nanga	horse	sǒŋ
Penange	horse	sòn+jò+m
PergeTegu	horse	sǒ+m
TebulUre	horse	sò+mé
TiranigeBoui	horse	sóɲó+ní
TiranigeNingo	horse	só+ɲjó+ní
TogoKan	horse	sɔ̌+ⁿ
TommoSoTongoTongo	horse	só+m
ToroTegu	horse	sò+ŋgú
ToroTegu	horse	sòŋú
ToroTegu	horse	sǒŋ
YandaDom	horse	sò+m
YornoSo	horse	sǒ+m
BankanTey	pigeon (domestic)	tùrù+sû+m
BenTey	pigeon (domestic)	gɔ�ɔ�ⁿ+m
Bunoge	pigeon (domestic)	kùnɛ̀+kúnɛ́+sàá+mbà
DogulDomBendiely	pigeon (domestic)	gùlà+mbá
DogulDomBendiely	pigeon (domestic)	gùlà+mpá
DogulDomKundialang	pigeon (domestic)	gùlà+mpá
DonnoSo	pigeon (domestic)	gùlɔ̀+mbɔ́
JamsayDouentza	pigeon (domestic)	kìká+jà
JamsayMondoro	pigeon (domestic)	gú+mbà
JamsayMondoro	pigeon (domestic)	kìká+jà
Mombo	pigeon (domestic)	dèbù+gú+mbá+gú+mbà
BonduSoNajamba	pigeon (domestic)	gùr+mbáà
Nanga	pigeon (domestic)	jàà+mbá
Penange	pigeon (domestic)	pól+máláá+ndì
PergeTegu	pigeon (domestic)	kàká+sà
TebulUre	pigeon (domestic)	kágá+dá
Tiranige	pigeon (domestic)	gùlù+mbá
TogoKan	pigeon (domestic)	pèlè+gú+mó
TommoSoTongoTongo	pigeon (domestic)	gùrù+mbáá
TomoKanDiangassagou	pigeon (domestic)	pèlè+bú+mbà+là
TomoKanSegue	pigeon (domestic)	pyè+lèbú+mbà+là
ToroTegu	pigeon (domestic)	tùsû+m
YandaDom	pigeon (domestic)	gùlú+mbà
YornoSo	pigeon (domestic)	gùrù+máà
BankanTey	bird (any)	nìí+m
BenTey	bird (any)	nììyⁿî+m
Bunoge	bird (any)	nííbè
DogulDomBendiely	bird (any)	lègèè+gú
DogulDomBendiely	bird (any)	nègèè+gú
DogulDomKundialang	bird (any)	nègèé+g
DonnoSo	bird (any)	sàdáà
JamsayDouentza	bird (any)	sààjíì+ⁿ
JamsayDouentza	bird (any)	sàjú
JamsayMondoro	bird (any)	sàjú
Mombo	bird (any)	ìní
BonduSoNajamba	bird (any)	nìí
Nanga	bird (any)	lìì+gí
Penange	bird (any)	nèj+jé
PergeTegu	bird (any)	sàsǎ+y
TebulUre	bird (any)	àdé
Tiranige	bird (any)	níyè
TogoKan	bird (any)	sàjú
TommoSoTongoTongo	bird (any)	sàdàá
TomoKanDiangassagou	bird (any)	sàjù
TomoKanSegue	bird (any)	sàjù
ToroTegu	bird (any)	sǎy
YandaDom	bird (any)	àɲàn
YornoSo	bird (any)	sìsàá
BankanTey	poultry	jɛ̀+ndɛ̀+kì+sì+yú
Mombo	poultry	kárá+kárá+sáá+gè
TommoSoTongoTongo	poultry	gìnɛ̀ý+sàdàà
YornoSo	poultry	ɛ̀ɲɛ́
BankanTey	pig	àríyè+m
BenTey	pig	tórú+m
Bunoge	pig	ʔàl+là
DogulDomBendiely	pig	álìyà
DogulDomKundialang	pig	álìyà
DonnoSo	pig	tólù
JamsayDouentza	pig	tórú
Mombo	pig	álúwà
BonduSoNajamba	pig	àlíyà
BonduSoNajamba	pig	óléàlì+yà
Nanga	pig	tóórì
Penange	pig	àl+gà
PergeTegu	pig	tórú
TebulUre	pig	tólé
Tiranige	pig	álíyá
TogoKan	pig	tórú
TommoSoTongoTongo	pig	tólú
ToroTegu	pig	tórú
YandaDom	pig	tól
YornoSo	pig	tól
BenTey	cattle herder, cowherd	nààbè+ré+m
DogulDomBendiely	cattle herder, cowherd	nàgí+r
DonnoSo	cattle herder, cowherd	nàŋà+gírì+nɛ̀
JamsayDouentza	cattle herder, cowherd	nàŋà+jírɛ́+n
Mombo	cattle herder, cowherd	náàgí+rí
BonduSoNajamba	cattle herder, cowherd	nàwòò+kìr+gɛ́ɛ́
Nanga	cattle herder, cowherd	nàŋà+bèrè+mbí
Penange	cattle herder, cowherd	nààgì+r
TommoSoTongoTongo	cattle herder, cowherd	nààgí+rínɛ́
ToroTegu	cattle herder, cowherd	nàŋà+bénú
YandaDom	cattle herder, cowherd	nààkì+lɛ̀
YornoSo	cattle herder, cowherd	nààgí+rɛ́nɛ́
BankanTey	grass, herbs	bèrú
BankanTey	grass, herbs	sàwáà
BenTey	grass, herbs	bèrú
Bunoge	grass, herbs	kɔ́jì
DogulDomBendiely	grass, herbs	kɔ́ɔ́+gù
DogulDomKundialang	grass, herbs	kɔ̌ɔ̌+g
DogulDomKundialang	grass, herbs	bèlé
DonnoSo	grass, herbs	bèlé
JamsayDouentza	grass, herbs	ɔ̀yɔ́
Mombo	grass, herbs	bélé+ŋgè
BonduSoNajamba	grass, herbs	sɔ̌ɔ̌mɛ̀+ŋgò
Nanga	grass, herbs	bèrí
Nanga	grass, herbs	sàwâ
Penange	grass, herbs	kɔ́jí
PergeTegu	grass, herbs	ɔ̀yɔ́
TebulUre	grass, herbs	yɔ̀wá
Tiranige	grass, herbs	bél+ŋge
TiranigeBoui	grass, herbs	bélé+ŋgé
Tiranige	grass, herbs	kɔ́y
TogoKan	grass, herbs	gúgú+rú
TommoSoTongoTongo	grass, herbs	kèrú
TommoSoTongoTongo	grass, herbs	bèlú
TomoKanDiangassagou	grass, herbs	gùníí
TomoKanSegue	grass, herbs	gwì+ní
ToroTegu	grass, herbs	sɔ̀lɔ́
YandaDom	grass, herbs	ɔ̀à
YornoSo	grass, herbs	dɔ̀+gɔ́
BankanTey	pasture	bèbè+rú
BenTey	pasture	ɔ̀rⁿɔ́ɔ́
DogulDomBendiely	pasture	gírù
Mombo	pasture	bɛ́lí+gírí
BonduSoNajamba	pasture	gír+ŋgá+n
Nanga	pasture	bèrè+mbí
TommoSoTongoTongo	pasture	gìrù+gìrú
ToroTegu	pasture	sàsǎ+ŋ
YornoSo	pasture	běl
BankanTey	castrated (bull, ram, billygoat)	mɔ́ɔ́ráá+nì
BenTey	castrated (bull, ram, billygoat)	pɔ̀rú+m
JamsayGourou	castrated (bull, ram, billygoat)	pɔ̀rú
JamsayDouentza	castrated (bull, ram, billygoat)	pɔ̀rú
Mombo	castrated (bull, ram, billygoat)	ká+mbé
BonduSoNajamba	castrated (bull, ram, billygoat)	mɔ́rɛ́+bàà
Nanga	castrated (bull, ram, billygoat)	pɔ̀rí
TogoKan	castrated (bull, ram, billygoat)	pɔ̀rú
TommoSoTongoTongo	castrated (bull, ram, billygoat)	pɔ̀rú
ToroTegu	castrated (bull, ram, billygoat)	pɔ́lù
YandaDom	castrated (bull, ram, billygoat)	pɔ̀dù
YornoSo	castrated (bull, ram, billygoat)	pɔ̀rú
BankanTey	skin and butcher (carcass of slaughtered animal)	pánd+í
BenTey	skin and butcher (carcass of slaughtered animal)	pó
BenTey	skin and butcher (carcass of slaughtered animal)	pál+í
BenTey	skin and butcher (carcass of slaughtered animal)	úr+ɔ́
Bunoge	skin and butcher (carcass of slaughtered animal)	ʔɔ́r+ɛ̀
DogulDomBendiely	skin and butcher (carcass of slaughtered animal)	kɛ̀s+ɛ́
DogulDomKundialang	skin and butcher (carcass of slaughtered animal)	úr+ɛ̀
DonnoSo	skin and butcher (carcass of slaughtered animal)	úr+ɛ̀
JamsayGourou	skin and butcher (carcass of slaughtered animal)	pɔ́+ɔ́
JamsayDouentza	skin and butcher (carcass of slaughtered animal)	pán+á
JamsayMondoro	skin and butcher (carcass of slaughtered animal)	pán+á
Mombo	skin and butcher (carcass of slaughtered animal)	tɔ́l+ɛ́
BonduSoNajamba	skin and butcher (carcass of slaughtered animal)	tɔ́n+ɛ́
Nanga	skin and butcher (carcass of slaughtered animal)	úr+ɔ́
Nanga	skin and butcher (carcass of slaughtered animal)	pánd+í
Penange	skin and butcher (carcass of slaughtered animal)	tɔ́l+ɛ́
PergeTegu	skin and butcher (carcass of slaughtered animal)	pál+á
TebulUre	skin and butcher (carcass of slaughtered animal)	ùr+ɔ́
Tiranige	skin and butcher (carcass of slaughtered animal)	tɔ́n+ɔ́
TogoKan	skin and butcher (carcass of slaughtered animal)	pɔ́+ɔ́
TommoSoTongoTongo	skin and butcher (carcass of slaughtered animal)	úr+ɔ́
TomoKanDiangassagou	skin and butcher (carcass of slaughtered animal)	ʔùr+ɛ́
TomoKanSegue	skin and butcher (carcass of slaughtered animal)	ʔùr+ɛ́
ToroTegu	skin and butcher (carcass of slaughtered animal)	wòr+ó
YandaDom	skin and butcher (carcass of slaughtered animal)	pán+á+lì
YornoSo	skin and butcher (carcass of slaughtered animal)	úr+ɔ́
BankanTey	donkey	dúrù+m
BenTey	donkey	súrú+bɔ̀+ŋgɔ̂+m
BenTey	donkey	súbɔ̀+ŋgɔ̂+m
BenTey	donkey	súbɔ̀+ŋgɔ̂+m
Bunoge	donkey	kóló+mù
DogulDomBendiely	donkey	dúlù+gù
DogulDomKundialang	donkey	dúlù+g
DonnoSo	donkey	jà+ŋgú+rù
JamsayGourou	donkey	zàm+dúrú
JamsayDouentza	donkey	jàm+dúrú
JamsayDouentza	donkey	jà+ndú+rú
JamsayMondoro	donkey	jà+ndú+rú
Mombo	donkey	kɔ́n+yɔ̀
BonduSoNajamba	donkey	pár+ŋgá
BonduSoNajamba	donkey	párá+ŋgá
Nanga	donkey	súmá+ŋà
Penange	donkey	kòlò+kòlò
PergeTegu	donkey	jàm+dúrú
TebulUre	donkey	zàm+dílè
TiranigeBoui	donkey	kɔ́lɔ́+ŋɔ̀
TiranigeNingo	donkey	kɔ́ní+yɔ́
TogoKan	donkey	jɔ̀ⁿtú+rú
TommoSoTongoTongo	donkey	jà+ndú+lú
TommoSoTongoTongo	donkey	dúlú
TomoKanDiangassagou	donkey	jò+ndù
TomoKanSegue	donkey	jò+ndò
ToroTegu	donkey	zà+ndú+rú
YandaDom	donkey	zàm+dúrú
YandaDom	donkey	zàm+túrú
YornoSo	donkey	jàm+dúl
BankanTey	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndí+yé
BenTey	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndô+l
Bunoge	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gà+ndù+dù+rɛ́
DogulDomKundialang	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gà+ndú+dú+rɛ̀
DonnoSo	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	jà+ndù+rú+tò+ò+lò
JamsayGourou	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ́+gûn
JamsayDouentza	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ́+gôl
JamsayDouentza	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndú+wô+l
JamsayDouentza	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndó+wô+l
JamsayDouentza	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndɛ́ɛ́+rɛ̀
Mombo	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gɔ̀ɔ̀ⁿdáá+lè
BonduSoNajamba	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndù+rè
Nanga	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ̀+gôl
Nanga	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ̀+dún+márⁿá
Penange	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	pàr+gàwó+lló
PergeTegu	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ̀+kɔ́lú
TebulUre	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kwàà+kólò
Tiranige	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gà+ndì+ré
TogoKan	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀rɔ́+gól
TommoSoTongoTongo	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gèɲ+ɲùdɔ̌+y+ⁿ
TommoSoTongoTongo	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	dúgɔ́+ndɔ́
TomoKanDiangassagou	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀lɔ̀+sù+ŋgù
TomoKanSegue	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀lɔ̀+sù+ŋgù
ToroTegu	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gá+ndò+l
ToroTegu	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	gálí+yé
YandaDom	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	kɔ̀lɔ̀+gòdú
BankanTey	chicken	ɛ̀zɛ̂+m
BenTey	chicken	ɛ̀njɛ̂+m
Bunoge	chicken	sííjà
DogulDomBendiely	chicken	àrùjɛ́+nɛ́
DogulDomKundialang	chicken	ɔ́llɔ̀
DonnoSo	chicken	ènjé
JamsayGourou	chicken	ɛ̀sɛ́
JamsayDouentza	chicken	ɛ̀ɲɛ́
JamsayMondoro	chicken	ɛ̀ɲɛ́
Mombo	chicken	síjà
BonduSoNajamba	chicken	kòkó+rò
BonduSoNajamba	chicken	kórò
Nanga	chicken	ɛ̀njɛ̂
Penange	chicken	sír+gà
PergeTegu	chicken	ɛ̀njɛ́
TebulUre	chicken	ɛ̀njɛ́
TiranigeBoui	chicken	sìjá
TiranigeNingo	chicken	sììjá
TogoKan	chicken	kò+gó
TommoSoTongoTongo	chicken	ɛ̀njɛ́
TomoKanDiangassagou	chicken	kù+gò
TomoKanSegue	chicken	kù+gò
ToroTegu	chicken	ɛ̀ⁿsá
ToroTegu	chicken	ɛ̀sá
YandaDom	chicken	ɛ̀dɛ̀
YornoSo	chicken	ɛ̀ɲɛ́
BankanTey	rooster	ɛ̀zɛ̀kòó+rò+m
BenTey	rooster	ɛ̀njɛ̀+kòórò+m
Bunoge	rooster	sììjá+nòlò
DogulDomBendiely	rooster	ɔ̀llɔ̀á+nà
DonnoSo	rooster	ènjèà+ná
